,speed,time
0,12.3895,2014/1/1 0:05
1,14.7646,2014/1/1 0:35
2,13.7674,2014/1/1 1:05
3,11.8454,2014/1/1 1:35
4,11.8538,2014/1/1 2:05
5,10.6288,2014/1/1 2:35
6,11.7043,2014/1/1 3:05
7,11.3323,2014/1/1 3:35
8,9.86406,2014/1/1 4:05
9,11.1486,2014/1/1 4:35
10,10.5154,2014/1/1 5:05
11,9.23373,2014/1/1 5:35
12,12.0862,2014/1/1 6:05
13,10.1438,2014/1/1 7:05
14,7.4817,2014/1/1 7:35
15,9.97092,2014/1/1 8:05
16,9.21474,2014/1/1 8:35
17,14.0907,2014/1/1 9:05
18,11.456,2014/1/1 9:35
19,13.7718,2014/1/1 10:05
20,15.7275,2014/1/1 10:35
21,11.8064,2014/1/1 11:05
22,10.2364,2014/1/1 11:35
23,7.69532,2014/1/1 12:05
24,10.767,2014/1/1 12:35
25,14.2336,2014/1/1 13:05
26,10.1661,2014/1/1 13:35
27,11.7882,2014/1/1 14:05
28,12.543,2014/1/1 14:35
29,11.3028,2014/1/1 15:05
30,11.0737,2014/1/1 16:05
31,9.87128,2014/1/1 16:35
32,10.9912,2014/1/1 17:05
33,11.1826,2014/1/1 17:35
34,9.48083,2014/1/1 18:05
35,12.2974,2014/1/1 18:35
36,11.5683,2014/1/1 19:05
37,9.11761,2014/1/1 20:05
38,8.47475,2014/1/1 20:35
39,8.98125,2014/1/1 21:05
40,7.57904,2014/1/1 21:35
41,4.89499,2014/1/1 22:35
42,5.71684,2014/1/1 23:05
43,7.54981,2014/1/1 23:35
44,6.30264,2014/1/2 0:35
45,5.88324,2014/1/2 1:05
46,5.5886,2014/1/2 1:35
47,6.04922,2014/1/2 2:05
48,7.66162,2014/1/2 2:35
49,9.12343,2014/1/2 3:05
50,7.90817,2014/1/2 3:35
51,7.82254,2014/1/2 4:05
52,6.21159,2014/1/2 4:35
53,6.98409,2014/1/2 5:05
54,8.57869,2014/1/2 5:35
55,8.0655,2014/1/2 6:05
56,9.69433,2014/1/2 6:35
57,11.0244,2014/1/2 7:05
58,11.144,2014/1/2 7:35
59,11.384,2014/1/2 8:05
60,10.0513,2014/1/2 8:35
61,8.92264,2014/1/2 9:05
62,5.39571,2014/1/2 9:35
63,8.90693,2014/1/2 10:35
64,10.5487,2014/1/2 11:05
65,7.52277,2014/1/2 12:05
66,7.46129,2014/1/2 12:35
67,5.84861,2014/1/2 13:05
68,6.54202,2014/1/2 14:05
69,6.52964,2014/1/2 14:35
70,7.7014,2014/1/2 15:05
71,7.47405,2014/1/2 15:35
72,4.65591,2014/1/2 16:05
73,5.91378,2014/1/2 16:35
74,9.2468,2014/1/2 17:35
75,8.02943,2014/1/2 18:05
76,8.30124,2014/1/2 18:35
77,11.3478,2014/1/2 19:05
78,10.832,2014/1/2 20:05
79,8.56534,2014/1/2 20:35
80,9.28306,2014/1/2 21:05
81,10.0403,2014/1/2 21:35
82,11.281,2014/1/2 22:05
83,9.07933,2014/1/2 22:35
84,5.61745,2014/1/2 23:05
85,8.54397,2014/1/2 23:35
86,9.64597,2014/1/3 0:05
87,6.60114,2014/1/3 0:35
88,8.77609,2014/1/3 1:05
89,6.19437,2014/1/3 1:35
90,9.14506,2014/1/3 2:05
91,6.45305,2014/1/3 2:35
92,5.26631,2014/1/3 3:05
93,5.84417,2014/1/3 3:35
94,4.93343,2014/1/3 4:05
95,5.7446,2014/1/3 4:35
96,5.38563,2014/1/3 5:05
97,6.23169,2014/1/3 5:35
98,6.18828,2014/1/3 6:05
99,6.08833,2014/1/3 6:35
100,5.84949,2014/1/3 7:05
101,6.25987,2014/1/3 8:05
102,4.68346,2014/1/3 8:35
103,3.80341,2014/1/3 9:05
104,3.92545,2014/1/3 9:35
105,1.1869,2014/1/3 10:05
106,3.05878,2014/1/3 10:35
107,4.03997,2014/1/3 11:05
108,5.45225,2014/1/3 11:35
109,5.79963,2014/1/3 12:35
110,3.94497,2014/1/3 13:05
111,5.58093,2014/1/3 13:35
112,7.12776,2014/1/3 14:05
113,6.45552,2014/1/3 14:35
114,4.73106,2014/1/3 15:05
115,3.82905,2014/1/3 16:35
116,4.39918,2014/1/3 17:05
117,3.05578,2014/1/3 17:35
118,2.79779,2014/1/3 18:05
119,2.59964,2014/1/3 21:35
120,5.54673,2014/1/3 22:05
121,7.64639,2014/1/3 22:35
122,6.88287,2014/1/3 23:05
123,6.47589,2014/1/3 23:35
124,6.06216,2014/1/4 0:05
125,5.74137,2014/1/4 0:35
126,9.18041,2014/1/4 1:05
127,9.98879,2014/1/4 1:35
128,9.90115,2014/1/4 2:05
129,10.1093,2014/1/4 2:35
130,10.2419,2014/1/4 3:05
131,10.0687,2014/1/4 3:35
132,8.5375,2014/1/4 4:05
133,6.37787,2014/1/4 4:35
134,6.97356,2014/1/4 5:05
135,6.54677,2014/1/4 5:35
136,7.79582,2014/1/4 6:05
137,7.47413,2014/1/4 6:35
138,7.10107,2014/1/4 7:05
139,6.90432,2014/1/4 7:35
140,10.9674,2014/1/4 8:05
141,9.94216,2014/1/4 9:05
142,10.1407,2014/1/4 9:35
143,7.17051,2014/1/4 10:05
144,8.19737,2014/1/4 10:35
145,6.32657,2014/1/4 11:05
146,7.24825,2014/1/4 11:35
147,7.78503,2014/1/4 12:05
148,11.675,2014/1/4 12:35
149,9.59108,2014/1/4 13:05
150,7.39339,2014/1/4 13:35
151,8.06609,2014/1/4 14:05
152,10.1314,2014/1/4 14:35
153,5.67145,2014/1/4 15:05
154,4.98236,2014/1/4 15:35
155,10.6068,2014/1/4 16:35
156,9.19934,2014/1/4 17:05
157,9.64165,2014/1/4 18:05
158,9.41799,2014/1/4 18:35
159,9.95995,2014/1/4 19:05
160,10.0746,2014/1/4 19:35
161,7.95664,2014/1/4 20:05
162,6.77779,2014/1/4 20:35
163,7.14194,2014/1/4 21:05
164,5.91522,2014/1/4 21:35
165,9.47598,2014/1/4 22:05
166,9.78203,2014/1/4 23:05
167,7.95331,2014/1/5 0:05
168,8.94864,2014/1/5 0:35
169,10.0807,2014/1/5 1:05
