pn,rqsj,data
WYSY001FJFS,2014/1/1 0:05,11.4275
WYSY001FJFS,2014/1/1 0:10,11.8305
WYSY001FJFS,2014/1/1 0:15,11.8569
WYSY001FJFS,2014/1/1 0:20,12.2854
WYSY001FJFS,2014/1/1 0:25,12.4317
WYSY001FJFS,2014/1/1 0:30,12.4143
WYSY001FJFS,2014/1/1 0:35,12.9806
WYSY001FJFS,2014/1/1 0:40,13.7886
WYSY001FJFS,2014/1/1 0:45,14.188
WYSY001FJFS,2014/1/1 0:50,13.3682
WYSY001FJFS,2014/1/1 0:55,13.1397
WYSY001FJFS,2014/1/1 1:00,12.8309
WYSY001FJFS,2014/1/1 1:05,12.7619
WYSY001FJFS,2014/1/1 1:10,11.315
WYSY001FJFS,2014/1/1 1:15,12.2161
WYSY001FJFS,2014/1/1 1:20,12.2397
WYSY001FJFS,2014/1/1 1:25,12.9265
WYSY001FJFS,2014/1/1 1:30,12.9768
WYSY001FJFS,2014/1/1 1:35,10.9598
WYSY001FJFS,2014/1/1 1:40,10.4307
WYSY001FJFS,2014/1/1 1:45,10.8462
WYSY001FJFS,2014/1/1 1:50,9.96853
WYSY001FJFS,2014/1/1 1:55,10.3078
WYSY001FJFS,2014/1/1 2:00,10.2928
WYSY001FJFS,2014/1/1 2:05,11.252
WYSY001FJFS,2014/1/1 2:10,11.7202
WYSY001FJFS,2014/1/1 2:15,12.1597
WYSY001FJFS,2014/1/1 2:20,11.0809
WYSY001FJFS,2014/1/1 2:25,9.98651
WYSY001FJFS,2014/1/1 2:30,10.3742
WYSY001FJFS,2014/1/1 2:35,9.70454
WYSY001FJFS,2014/1/1 2:40,10.1468
WYSY001FJFS,2014/1/1 2:45,10.3176
WYSY001FJFS,2014/1/1 2:50,9.59829
WYSY001FJFS,2014/1/1 2:55,10.3924
WYSY001FJFS,2014/1/1 3:00,10.6557
WYSY001FJFS,2014/1/1 3:05,11.8936
WYSY001FJFS,2014/1/1 3:10,11.2419
WYSY001FJFS,2014/1/1 3:15,10.299
WYSY001FJFS,2014/1/1 3:20,9.60061
WYSY001FJFS,2014/1/1 3:25,12.1408
WYSY001FJFS,2014/1/1 3:30,11.1005
WYSY001FJFS,2014/1/1 3:35,10.1722
WYSY001FJFS,2014/1/1 3:40,9.71257
WYSY001FJFS,2014/1/1 3:45,9.89437
WYSY001FJFS,2014/1/1 3:50,10.6378
WYSY001FJFS,2014/1/1 3:55,11.0292
WYSY001FJFS,2014/1/1 4:00,10.8355
WYSY001FJFS,2014/1/1 4:05,11.0362
WYSY001FJFS,2014/1/1 4:10,11.0378
WYSY001FJFS,2014/1/1 4:15,9.6887
WYSY001FJFS,2014/1/1 4:20,9.75032
WYSY001FJFS,2014/1/1 4:25,9.76584
WYSY001FJFS,2014/1/1 4:30,10.7776
WYSY001FJFS,2014/1/1 4:35,11.0398
WYSY001FJFS,2014/1/1 4:40,11.7919
WYSY001FJFS,2014/1/1 4:45,12.2169
WYSY001FJFS,2014/1/1 4:50,12.0229
WYSY001FJFS,2014/1/1 4:55,11.6383
WYSY001FJFS,2014/1/1 5:00,11.0152
WYSY001FJFS,2014/1/1 5:05,11.2723
WYSY001FJFS,2014/1/1 5:10,10.819
WYSY001FJFS,2014/1/1 5:15,9.73464
WYSY001FJFS,2014/1/1 5:20,8.94803
WYSY001FJFS,2014/1/1 5:25,8.66451
WYSY001FJFS,2014/1/1 5:30,9.07633
WYSY001FJFS,2014/1/1 5:35,8.6407
WYSY001FJFS,2014/1/1 5:40,9.29583
WYSY001FJFS,2014/1/1 5:45,9.51705
WYSY001FJFS,2014/1/1 5:50,9.44013
WYSY001FJFS,2014/1/1 5:55,11.5655
WYSY001FJFS,2014/1/1 6:00,10.59
WYSY001FJFS,2014/1/1 6:05,11.4665
WYSY001FJFS,2014/1/1 6:10,10.9424
WYSY001FJFS,2014/1/1 6:15,11.7582
WYSY001FJFS,2014/1/1 6:20,11.7244
WYSY001FJFS,2014/1/1 6:25,10.3642
WYSY001FJFS,2014/1/1 6:30,11.4308
WYSY001FJFS,2014/1/1 6:40,10.3532
WYSY001FJFS,2014/1/1 6:45,10.8032
WYSY001FJFS,2014/1/1 6:50,11.7186
WYSY001FJFS,2014/1/1 6:55,10.15
WYSY001FJFS,2014/1/1 7:00,10.6424
WYSY001FJFS,2014/1/1 7:05,10.3727
WYSY001FJFS,2014/1/1 7:10,11.3283
WYSY001FJFS,2014/1/1 7:15,10.2379
WYSY001FJFS,2014/1/1 7:20,10.5423
WYSY001FJFS,2014/1/1 7:25,8.85055
WYSY001FJFS,2014/1/1 7:30,7.76828
