,speed,time
0,11.4026,2014/1/1 0:05
1,10.7809,2014/1/1 1:05
2,11.4274,2014/1/1 2:05
3,10.7047,2014/1/1 3:05
4,9.88094,2014/1/1 4:05
5,10.4464,2014/1/1 5:05
6,10.9087,2014/1/1 6:05
7,9.16552,2014/1/1 7:05
8,9.11003,2014/1/1 8:05
9,10.4961,2014/1/1 9:05
10,12.2159,2014/1/1 10:05
11,11.8334,2014/1/1 11:05
12,8.88195,2014/1/1 12:05
13,12.3545,2014/1/1 13:05
14,10.7738,2014/1/1 14:05
15,10.1845,2014/1/1 15:05
16,7.8902,2014/1/1 16:05
17,9.7527,2014/1/1 17:05
18,6.60291,2014/1/1 18:05
19,8.9748,2014/1/1 19:05
20,7.64546,2014/1/1 20:05
21,8.08465,2014/1/1 21:05
22,4.8962,2014/1/1 23:05
23,5.81198,2014/1/2 1:05
24,4.95182,2014/1/2 2:05
25,7.07604,2014/1/2 3:05
26,6.54171,2014/1/2 4:05
27,5.23769,2014/1/2 5:05
28,6.45461,2014/1/2 6:05
29,8.44922,2014/1/2 7:05
30,8.60451,2014/1/2 8:05
31,7.42162,2014/1/2 9:05
32,8.79273,2014/1/2 11:05
33,8.26465,2014/1/2 12:05
34,4.97731,2014/1/2 13:05
35,6.71594,2014/1/2 14:05
36,4.98655,2014/1/2 15:05
37,4.50248,2014/1/2 16:05
38,7.01443,2014/1/2 18:05
39,11.1008,2014/1/2 19:05
40,11.3879,2014/1/2 20:05
41,8.72906,2014/1/2 21:05
42,7.82481,2014/1/2 22:05
43,2.91377,2014/1/2 23:05
44,8.04458,2014/1/3 0:05
45,5.44409,2014/1/3 1:05
46,8.12865,2014/1/3 2:05
47,3.97076,2014/1/3 3:05
48,4.11349,2014/1/3 4:05
49,5.44039,2014/1/3 5:05
50,4.88886,2014/1/3 6:05
51,5.12922,2014/1/3 7:05
52,4.48868,2014/1/3 8:05
53,3.85591,2014/1/3 9:05
54,3.10022,2014/1/3 10:05
55,3.95065,2014/1/3 11:05
56,4.46635,2014/1/3 13:05
57,5.39588,2014/1/3 14:05
58,4.24411,2014/1/3 15:05
59,4.85449,2014/1/3 17:05
60,2.8577,2014/1/3 18:05
61,5.02607,2014/1/3 22:05
62,5.57459,2014/1/3 23:05
63,5.53053,2014/1/4 0:05
64,7.39902,2014/1/4 1:05
65,8.46243,2014/1/4 2:05
66,9.12235,2014/1/4 3:05
67,7.09492,2014/1/4 4:05
68,7.18852,2014/1/4 5:05
69,5.82566,2014/1/4 6:05
70,5.34903,2014/1/4 7:05
71,9.21841,2014/1/4 8:05
72,8.09208,2014/1/4 9:05
73,6.57143,2014/1/4 10:05
74,7.17311,2014/1/4 11:05
75,7.70183,2014/1/4 12:05
76,6.68231,2014/1/4 13:05
77,7.71196,2014/1/4 14:05
78,7.58491,2014/1/4 15:05
79,8.68432,2014/1/4 17:05
80,8.03937,2014/1/4 18:05
81,9.40415,2014/1/4 19:05
82,9.89438,2014/1/4 20:05
83,5.75005,2014/1/4 21:05
84,6.88841,2014/1/4 22:05
85,8.21486,2014/1/4 23:05
86,6.47165,2014/1/5 0:05
87,6.47558,2014/1/5 1:05
88,6.9838,2014/1/5 2:05
89,4.99039,2014/1/5 3:05
90,5.37153,2014/1/5 4:05
91,7.7111,2014/1/5 5:05
92,6.43121,2014/1/5 6:05
93,2.32645,2014/1/5 7:05
94,2.87255,2014/1/5 8:05
95,5.49795,2014/1/5 9:05
96,2.65553,2014/1/5 10:05
97,1.1928,2014/1/5 11:05
98,2.46422,2014/1/5 12:05
99,1.16672,2014/1/5 13:05
100,1.15656,2014/1/5 14:05
101,5.0719,2014/1/5 16:05
102,5.7391,2014/1/5 17:05
103,8.25008,2014/1/5 18:05
104,7.70927,2014/1/5 19:05
105,7.85351,2014/1/5 20:05
106,7.46415,2014/1/5 21:05
107,6.62314,2014/1/5 22:05
108,7.12768,2014/1/5 23:05
109,10.4878,2014/1/6 0:05
110,10.213,2014/1/6 1:05
111,12.0179,2014/1/6 2:05
112,11.4853,2014/1/6 3:05
113,12.0274,2014/1/6 4:05
114,10.5669,2014/1/6 5:05
115,10.1254,2014/1/6 6:05
116,11.7517,2014/1/6 7:05
117,11.6068,2014/1/6 8:05
118,11.1281,2014/1/6 9:05
119,8.41265,2014/1/6 10:05
120,7.8299,2014/1/6 12:05
121,6.8635,2014/1/6 13:05
122,5.48389,2014/1/6 14:05
123,6.77946,2014/1/6 15:05
124,4.7702,2014/1/6 16:05
125,7.22037,2014/1/6 18:05
126,7.03821,2014/1/6 19:05
127,7.44459,2014/1/6 20:05
128,8.95035,2014/1/6 21:05
129,7.3162,2014/1/6 22:05
130,6.57803,2014/1/6 23:05
131,9.21977,2014/1/7 0:05
132,5.93687,2014/1/7 1:05
133,8.8818,2014/1/7 2:05
134,6.28133,2014/1/7 3:05
135,7.23043,2014/1/7 4:05
136,2.56204,2014/1/7 5:05
137,4.79217,2014/1/7 6:05
138,4.92518,2014/1/7 7:05
139,3.48477,2014/1/7 8:05
140,5.82386,2014/1/7 11:05
141,4.9387,2014/1/7 12:05
142,7.98216,2014/1/7 15:05
143,6.76622,2014/1/7 16:05
144,6.40564,2014/1/7 17:05
145,6.76846,2014/1/7 18:05
146,4.17148,2014/1/7 20:05
147,4.43618,2014/1/7 21:05
148,4.7669,2014/1/7 22:05
149,5.83949,2014/1/7 23:05
150,3.19388,2014/1/8 0:05
151,2.92559,2014/1/8 1:05
152,3.13374,2014/1/8 2:05
153,4.45253,2014/1/8 3:05
154,5.7849,2014/1/8 4:05
155,3.43317,2014/1/8 5:05
156,4.01181,2014/1/8 6:05
157,6.21596,2014/1/8 7:05
158,7.17859,2014/1/8 8:05
159,3.4989,2014/1/8 9:05
160,4.0226,2014/1/8 10:05
161,4.05075,2014/1/8 11:05
162,5.51243,2014/1/8 12:05
163,6.81023,2014/1/8 13:05
164,10.4503,2014/1/8 16:05
165,6.82968,2014/1/8 18:05
166,9.14378,2014/1/8 19:05
167,6.91842,2014/1/8 20:05
168,6.59049,2014/1/8 21:05
169,5.25379,2014/1/8 22:05
170,4.90249,2014/1/8 23:05
171,7.41546,2014/1/9 0:05
172,6.91902,2014/1/9 1:05
173,7.41636,2014/1/9 2:05
174,5.57733,2014/1/9 3:05
175,5.79775,2014/1/9 4:05
176,7.18416,2014/1/9 5:05
177,6.664,2014/1/9 6:05
178,8.70965,2014/1/9 7:05
179,7.15541,2014/1/9 8:05
180,4.33263,2014/1/9 9:05
181,8.01824,2014/1/9 10:05
182,9.79301,2014/1/9 11:05
183,8.2915,2014/1/9 12:05
184,8.6328,2014/1/9 13:05
185,9.55979,2014/1/9 15:05
186,8.63558,2014/1/9 16:05
187,6.40983,2014/1/9 17:05
188,5.85653,2014/1/9 18:05
189,2.40416,2014/1/9 19:05
190,4.58349,2014/1/9 21:05
191,5.45698,2014/1/9 22:05
192,5.95367,2014/1/9 23:05
193,3.78338,2014/1/10 0:05
194,3.98379,2014/1/10 1:05
195,4.04893,2014/1/10 2:05
196,5.21861,2014/1/10 3:05
197,6.91667,2014/1/10 4:05
198,6.82305,2014/1/10 5:05
199,4.78019,2014/1/10 6:05
200,3.33823,2014/1/10 7:05
201,5.01338,2014/1/10 8:05
202,3.96271,2014/1/10 9:05
203,6.7198,2014/1/10 10:05
204,6.50843,2014/1/10 11:05
205,7.85729,2014/1/10 12:05
206,10.6605,2014/1/10 13:05
207,9.51012,2014/1/10 14:05
208,8.0142,2014/1/10 15:05
209,8.54774,2014/1/10 16:05
210,6.01509,2014/1/10 17:05
211,3.88944,2014/1/10 18:05
212,7.07789,2014/1/10 19:05
213,4.41851,2014/1/10 21:05
214,4.80442,2014/1/10 22:05
215,5.35695,2014/1/10 23:05
216,6.34291,2014/1/11 0:05
217,4.45622,2014/1/11 1:05
218,4.30318,2014/1/11 2:05
219,7.65841,2014/1/11 3:05
220,7.0979,2014/1/11 4:05
221,7.63385,2014/1/11 5:05
222,4.88315,2014/1/11 6:05
223,6.62641,2014/1/11 7:05
224,6.56646,2014/1/11 8:05
225,4.87328,2014/1/11 9:05
226,5.69107,2014/1/11 10:05
227,7.02425,2014/1/11 11:05
228,7.7387,2014/1/11 12:05
229,9.77983,2014/1/11 13:05
230,9.72218,2014/1/11 14:05
231,8.52072,2014/1/11 15:05
232,12.6795,2014/1/11 16:05
233,11.972,2014/1/11 17:05
234,10.0397,2014/1/11 18:05
